Rovnica;10 cos (x - 1) - x ^2 + 2x -1 = 0;;;
Tolerancia;1,00E-08;;;
Dolná hranica;-1;;;
Horná hranica;1;;;
Vypočítaný koreň rovnice;-0.37936459;;;
;;;;
k;dolná hranica;horná hranica;x;chyba
0;-1.00000000;1.00000000;0.00000000;1.00000000
1;-1.00000000;0.00000000;-0.50000000;0.50000000
2;-0.50000000;0.00000000;-0.25000000;0.25000000
3;-0.50000000;-0.25000000;-0.37500000;0.12500000
4;-0.50000000;-0.37500000;-0.43750000;0.06250000
5;-0.43750000;-0.37500000;-0.40625000;0.03125000
6;-0.40625000;-0.37500000;-0.39062500;0.01562500
7;-0.39062500;-0.37500000;-0.38281250;0.00781250
8;-0.38281250;-0.37500000;-0.37890625;0.00390625
9;-0.38281250;-0.37890625;-0.38085938;0.00195313
10;-0.38085938;-0.37890625;-0.37988281;0.00097656
11;-0.37988281;-0.37890625;-0.37939453;0.00048828
12;-0.37939453;-0.37890625;-0.37915039;0.00024414
13;-0.37939453;-0.37915039;-0.37927246;0.00012207
14;-0.37939453;-0.37927246;-0.37933350;0.00006104
15;-0.37939453;-0.37933350;-0.37936401;0.00003052
16;-0.37939453;-0.37936401;-0.37937927;0.00001526
17;-0.37937927;-0.37936401;-0.37937164;0.00000763
18;-0.37937164;-0.37936401;-0.37936783;0.00000381
19;-0.37936783;-0.37936401;-0.37936592;0.00000191
20;-0.37936592;-0.37936401;-0.37936497;0.00000095
21;-0.37936497;-0.37936401;-0.37936449;0.00000048
22;-0.37936497;-0.37936449;-0.37936473;0.00000024
23;-0.37936473;-0.37936449;-0.37936461;0.00000012
24;-0.37936461;-0.37936449;-0.37936455;0.00000006
25;-0.37936461;-0.37936455;-0.37936458;0.00000003
26;-0.37936461;-0.37936458;-0.37936459;0.00000001
27;-0.37936459;-0.37936458;-0.37936459;0.00000001
